mcc,untypeable,set,type
0.952370862593973,0,228107_213179_213148_39967_213309_91113_213507_213300_58712_213169_40003_58692_137952_134855_228502_213101_172008_228521_109747_58717_47157_110396_25697_39971_195481_62189_109164_209745,validation
0.952370862593973,0,228107_213179_213148_39967_213309_91113_213507_213300_58712_213169_40003_58692_137952_134855_228502_213101_172008_228521_109747_58717_47157_110396_25697_39971_195481_62189_109164_209745_116762,validation
0.952370862593973,0,228107_213179_213148_39967_213309_91113_213507_213300_58712_213169_40003_58692_137952_134855_228502_213101_172008_228521_109747_58717_47157_110396_25697_39971_195481_62189_109164_209745_116762_215182_161095_83049,validation
0.952370862593973,0,228107_213179_213148_39967_213309_91113_213507_213300_58712_213169_40003_58692_137952_134855_228502_213101_172008_228521_109747_58717_47157_110396_25697_39971_195481_62189_109164_209745_116762_215182_161095_83049_62192_168077,validation
0.96437893929472,0,228107_213179_213148_39967_213309_91113_213507_213300_58712_213169_40003_58692_137952_134855_228502_213101_172008_228521_109747_58717_47157_110396_25697_39971_195481_62189_109164_209745_116762_215182_161095_83049_62192_168077_213189_59206_151767_171151,validation
0.96437893929472,0,228107_213179_213148_39967_213309_91113_213507_213300_58712_213169_40003_58692_137952_134855_228502_213101_172008_228521_109747_58717_47157_110396_25697_39971_195481_62189_109164_209745_116762_215182_161095_83049_62192_168077_213189_59206_151767_171151_213164,validation
0.96437893929472,0,228107_213179_213148_39967_213309_91113_213507_213300_58712_213169_40003_58692_137952_134855_228502_213101_172008_228521_109747_58717_47157_110396_25697_39971_195481_62189_109164_209745_116762_215182_161095_83049_62192_168077_213189_59206_151767_171151_213164_83975,validation
0.96437893929472,0,228107_213179_213148_39967_213309_91113_213507_213300_58712_213169_40003_58692_137952_134855_228502_213101_172008_228521_109747_58717_47157_110396_25697_39971_195481_62189_109164_209745_116762_215182_161095_83049_62192_168077_213189_59206_151767_171151_213164_83975_25684_213069_211286,validation
0.96437893929472,0,228107_213179_213148_39967_213309_91113_213507_213300_58712_213169_40003_58692_137952_134855_228502_213101_172008_228521_109747_58717_47157_110396_25697_39971_195481_62189_109164_209745_116762_215182_161095_83049_62192_168077_213189_59206_151767_171151_213164_83975_25684_213069_211286_25680,validation
0.846741749488773,0,228107_213179_213148_39967_213309,all
0.915929977050915,0,228107_213179_213148_39967_213309_91113_213507_213300_58712,all
0.936854287448957,0,228107_213179_213148_39967_213309_91113_213507_213300_58712_213169_40003_58692_137952_134855,all
0.937786013139939,0,228107_213179_213148_39967_213309_91113_213507_213300_58712_213169_40003_58692_137952_134855_228502_213101_172008,all
0.93774625608538,0,228107_213179_213148_39967_213309_91113_213507_213300_58712_213169_40003_58692_137952_134855_228502_213101_172008_228521,all
0.944104747394991,0,228107_213179_213148_39967_213309_91113_213507_213300_58712_213169_40003_58692_137952_134855_228502_213101_172008_228521_109747_58717_47157,all
0.946638709271125,0,228107_213179_213148_39967_213309_91113_213507_213300_58712_213169_40003_58692_137952_134855_228502_213101_172008_228521_109747_58717_47157_110396,all
0.949230669489273,0,228107_213179_213148_39967_213309_91113_213507_213300_58712_213169_40003_58692_137952_134855_228502_213101_172008_228521_109747_58717_47157_110396_25697,all
0.960808777327981,0,228107_213179_213148_39967_213309_91113_213507_213300_58712_213169_40003_58692_137952_134855_228502_213101_172008_228521_109747_58717_47157_110396_25697_39971_195481,all
0.958225003308634,0,228107_213179_213148_39967_213309_91113_213507_213300_58712_213169_40003_58692_137952_134855_228502_213101_172008_228521_109747_58717_47157_110396_25697_39971_195481_62189,all
0.959552847476625,0,228107_213179_213148_39967_213309_91113_213507_213300_58712_213169_40003_58692_137952_134855_228502_213101_172008_228521_109747_58717_47157_110396_25697_39971_195481_62189_109164,all
0.958227022536142,0,228107_213179_213148_39967_213309_91113_213507_213300_58712_213169_40003_58692_137952_134855_228502_213101_172008_228521_109747_58717_47157_110396_25697_39971_195481_62189_109164_209745,all
0.962146241787145,0,228107_213179_213148_39967_213309_91113_213507_213300_58712_213169_40003_58692_137952_134855_228502_213101_172008_228521_109747_58717_47157_110396_25697_39971_195481_62189_109164_209745_116762,all
0.95953110468688,0,228107_213179_213148_39967_213309_91113_213507_213300_58712_213169_40003_58692_137952_134855_228502_213101_172008_228521_109747_58717_47157_110396_25697_39971_195481_62189_109164_209745_116762_215182_161095_83049,all
0.959517249830889,0,228107_213179_213148_39967_213309_91113_213507_213300_58712_213169_40003_58692_137952_134855_228502_213101_172008_228521_109747_58717_47157_110396_25697_39971_195481_62189_109164_209745_116762_215182_161095_83049_62192_168077,all
0.963446126760955,0,228107_213179_213148_39967_213309_91113_213507_213300_58712_213169_40003_58692_137952_134855_228502_213101_172008_228521_109747_58717_47157_110396_25697_39971_195481_62189_109164_209745_116762_215182_161095_83049_62192_168077_213189_59206_151767_171151,all
